Simulation,Variable,Importance,Fert_Standard
0.1,AET_mean,0.062,0.765432099
0.1,AET_mean,0.062,0.756097561
0.1,AET_mean,0.062,0.775
0.1,AET_mean,0.061,0.7625
0.1,AET_mean,0.063,0.777777778
0.1,cassava_Fertilizer,0.081,1
0.1,cassava_Fertilizer,0.082,1
0.1,cassava_Fertilizer,0.08,1
0.1,cassava_Fertilizer,0.08,1
0.1,cassava_Fertilizer,0.081,1
0.1,cassavaBinaryGCO,0.023,0.283950617
0.1,cassavaBinaryGCO,0.022,0.268292683
0.1,cassavaBinaryGCO,0.023,0.2875
0.1,cassavaBinaryGCO,0.024,0.3
0.1,cassavaBinaryGCO,0.022,0.271604938
0.1,GDP_Mean,0.06,0.740740741
0.1,GDP_Mean,0.06,0.731707317
0.1,GDP_Mean,0.062,0.775
0.1,GDP_Mean,0.061,0.7625
0.1,GDP_Mean,0.061,0.75308642
0.1,Pesticide,0.08,0.987654321
0.1,Pesticide,0.08,0.975609756
0.1,Pesticide,0.079,0.9875
0.1,Pesticide,0.08,1
0.1,Pesticide,0.078,0.962962963
0.5,AET_mean,0.135,0.780346821
0.5,AET_mean,0.135,0.775862069
0.5,AET_mean,0.134,0.779069767
0.5,AET_mean,0.136,0.790697674
0.5,AET_mean,0.137,0.791907514
0.5,cassava_Fertilizer,0.173,1
0.5,cassava_Fertilizer,0.174,1
0.5,cassava_Fertilizer,0.172,1
0.5,cassava_Fertilizer,0.172,1
0.5,cassava_Fertilizer,0.173,1
0.5,cassavaBinaryGCO,0.05,0.289017341
0.5,cassavaBinaryGCO,0.052,0.298850575
0.5,cassavaBinaryGCO,0.051,0.296511628
0.5,cassavaBinaryGCO,0.053,0.308139535
0.5,cassavaBinaryGCO,0.049,0.283236994
0.5,GDP_Mean,0.13,0.751445087
0.5,GDP_Mean,0.131,0.752873563
0.5,GDP_Mean,0.132,0.76744186
0.5,GDP_Mean,0.135,0.784883721
0.5,GDP_Mean,0.131,0.757225434
0.5,Pesticide,0.159,0.919075145
0.5,Pesticide,0.157,0.902298851
0.5,Pesticide,0.159,0.924418605
0.5,Pesticide,0.158,0.918604651
0.5,Pesticide,0.156,0.901734104
1,AET_mean,0.171,0.81042654
1,AET_mean,0.169,0.800947867
1,AET_mean,0.168,0.8
1,AET_mean,0.169,0.800947867
1,AET_mean,0.171,0.81042654
1,cassava_Fertilizer,0.211,1
1,cassava_Fertilizer,0.211,1
1,cassava_Fertilizer,0.21,1
1,cassava_Fertilizer,0.211,1
1,cassava_Fertilizer,0.211,1
1,cassavaBinaryGCO,0.064,0.303317536
1,cassavaBinaryGCO,0.067,0.317535545
1,cassavaBinaryGCO,0.067,0.319047619
1,cassavaBinaryGCO,0.064,0.303317536
1,cassavaBinaryGCO,0.063,0.298578199
1,GDP_Mean,0.164,0.777251185
1,GDP_Mean,0.166,0.786729858
1,GDP_Mean,0.165,0.785714286
1,GDP_Mean,0.172,0.815165877
1,GDP_Mean,0.167,0.791469194
1,Pesticide,0.192,0.909952607
1,Pesticide,0.191,0.90521327
1,Pesticide,0.192,0.914285714
1,Pesticide,0.19,0.900473934
1,Pesticide,0.192,0.909952607
2,AET_mean,0.208,0.866666667
2,AET_mean,0.207,0.858921162
2,AET_mean,0.205,0.854166667
2,AET_mean,0.203,0.842323651
2,AET_mean,0.206,0.854771784
2,cassava_Fertilizer,0.24,1
2,cassava_Fertilizer,0.241,1
2,cassava_Fertilizer,0.24,1
2,cassava_Fertilizer,0.241,1
2,cassava_Fertilizer,0.241,1
2,cassavaBinaryGCO,0.173,0.720833333
2,cassavaBinaryGCO,0.174,0.721991701
2,cassavaBinaryGCO,0.173,0.720833333
2,cassavaBinaryGCO,0.178,0.738589212
2,cassavaBinaryGCO,0.174,0.721991701
2,GDP_Mean,0.181,0.754166667
2,GDP_Mean,0.182,0.755186722
2,GDP_Mean,0.181,0.754166667
2,GDP_Mean,0.186,0.771784232
2,GDP_Mean,0.183,0.7593361
2,Pesticide,0.225,0.9375
2,Pesticide,0.224,0.929460581
2,Pesticide,0.221,0.920833333
2,Pesticide,0.222,0.921161826
2,Pesticide,0.224,0.929460581
3,AET_mean,0.219,0.835877863
3,AET_mean,0.22,0.839694656
3,AET_mean,0.22,0.846153846
3,AET_mean,0.216,0.824427481
3,AET_mean,0.221,0.84351145
3,cassava_Fertilizer,0.262,1
3,cassava_Fertilizer,0.262,1
3,cassava_Fertilizer,0.26,1
3,cassava_Fertilizer,0.262,1
3,cassava_Fertilizer,0.262,1
3,cassavaBinaryGCO,0.083,0.316793893
3,cassavaBinaryGCO,0.086,0.328244275
3,cassavaBinaryGCO,0.085,0.326923077
3,cassavaBinaryGCO,0.085,0.324427481
3,cassavaBinaryGCO,0.085,0.324427481
3,GDP_Mean,0.212,0.809160305
3,GDP_Mean,0.207,0.790076336
3,GDP_Mean,0.209,0.803846154
3,GDP_Mean,0.214,0.816793893
3,GDP_Mean,0.213,0.812977099
3,Pesticide,0.232,0.885496183
3,Pesticide,0.23,0.877862595
3,Pesticide,0.232,0.892307692
3,Pesticide,0.232,0.885496183
3,Pesticide,0.233,0.889312977
4,AET_mean,0.221,0.84351145
4,AET_mean,0.219,0.808118081
4,AET_mean,0.222,0.844106464
4,AET_mean,0.218,0.819548872
4,AET_mean,0.219,0.811111111
4,cassava_Fertilizer,0.262,1
4,cassava_Fertilizer,0.271,1
4,cassava_Fertilizer,0.263,1
4,cassava_Fertilizer,0.266,1
4,cassava_Fertilizer,0.27,1
4,cassavaBinaryGCO,0.086,0.328244275
4,cassavaBinaryGCO,0.09,0.332103321
4,cassavaBinaryGCO,0.085,0.323193916
4,cassavaBinaryGCO,0.085,0.319548872
4,cassavaBinaryGCO,0.087,0.322222222
4,GDP_Mean,0.214,0.816793893
4,GDP_Mean,0.21,0.774907749
4,GDP_Mean,0.214,0.813688213
4,GDP_Mean,0.211,0.793233083
4,GDP_Mean,0.217,0.803703704
4,Pesticide,0.224,0.854961832
4,Pesticide,0.234,0.863468635
4,Pesticide,0.227,0.863117871
4,Pesticide,0.236,0.887218045
4,Pesticide,0.232,0.859259259
5,AET_mean,0.244,0.900369004
5,AET_mean,0.244,0.897058824
5,AET_mean,0.247,0.904761905
5,AET_mean,0.243,0.896678967
5,AET_mean,0.246,0.904411765
5,cassava_Fertilizer,0.271,1
5,cassava_Fertilizer,0.272,1
5,cassava_Fertilizer,0.273,1
5,cassava_Fertilizer,0.271,1
5,cassava_Fertilizer,0.272,1
5,cassavaBinaryGCO,0.316,1.166051661
5,cassavaBinaryGCO,0.317,1.165441176
5,cassavaBinaryGCO,0.312,1.142857143
5,cassavaBinaryGCO,0.318,1.173431734
5,cassavaBinaryGCO,0.318,1.169117647
5,GDP_Mean,0.217,0.800738007
5,GDP_Mean,0.21,0.772058824
5,GDP_Mean,0.209,0.765567766
5,GDP_Mean,0.217,0.800738007
5,GDP_Mean,0.213,0.783088235
5,Pesticide,0.269,0.992619926
5,Pesticide,0.27,0.992647059
5,Pesticide,0.265,0.970695971
5,Pesticide,0.261,0.963099631
5,Pesticide,0.268,0.985294118
10,AET_mean,0.247,0.85467128
10,AET_mean,0.249,0.83557047
10,AET_mean,0.248,0.855172414
10,AET_mean,0.246,0.848275862
10,AET_mean,0.245,0.833333333
10,cassava_Fertilizer,0.289,1
10,cassava_Fertilizer,0.298,1
10,cassava_Fertilizer,0.29,1
10,cassava_Fertilizer,0.29,1
10,cassava_Fertilizer,0.294,1
10,cassavaBinaryGCO,0.099,0.342560554
10,cassavaBinaryGCO,0.099,0.332214765
10,cassavaBinaryGCO,0.1,0.344827586
10,cassavaBinaryGCO,0.095,0.327586207
10,cassavaBinaryGCO,0.097,0.329931973
10,GDP_Mean,0.237,0.820069204
10,GDP_Mean,0.232,0.77852349
10,GDP_Mean,0.237,0.817241379
10,GDP_Mean,0.23,0.793103448
10,GDP_Mean,0.241,0.819727891
10,Pesticide,0.248,0.858131488
10,Pesticide,0.259,0.869127517
10,Pesticide,0.252,0.868965517
10,Pesticide,0.26,0.896551724
10,Pesticide,0.25,0.850340136
15,cassavaBinaryGCO,0.126,0.67379679
15,cassavaBinaryGCO,0.131,0.71195652
15,cassavaBinaryGCO,0.131,0.70810811
15,cassavaBinaryGCO,0.13,0.69148936
15,cassavaBinaryGCO,0.132,0.72527473
25,cassavaBinaryGCO,0.081,0.32793522
25,cassavaBinaryGCO,0.083,0.3254902
25,cassavaBinaryGCO,0.078,0.31578947
25,cassavaBinaryGCO,0.081,0.324
25,cassavaBinaryGCO,0.081,0.32142857