Crop,Fertilizer,Evapotranspiration,Pesticide,GDP,Growing Season,,,,,,,,,
Barley,100.00,38.46,30.47,25.79,0.00,,,,,,,,,
Cassava,98.15,100.00,53.40,42.60,0.00,,,,,,,,,
Groundnut,100.00,47.74,33.62,26.69,0.00,,,,,,,,,
Maize,100.00,31.41,30.18,51.12,0.00,,,,,,,,,
Millet,100.00,59.38,54.05,27.11,0.00,,,,,,,,,
Rapeseed,100.00,33.30,1.76,23.73,0.00,,,,,,,,,
Rice,100.00,25.81,27.54,21.32,0.00,,,,,,,,,
Rye,100.00,38.45,28.92,36.67,0.00,,,,,,,,,
Sorghum,100.00,23.18,32.10,27.81,0.00,,,,,,,,,
Soybean,100.00,46.34,36.78,30.06,0.00,,,,,,,,,
Sunflower,100.00,39.65,11.50,8.89,0.00,,,,,,,,,
Wheat,100.00,35.54,26.71,25.56,0.00,,,,,,,,,
Mean,99.85,43.27,30.59,28.94,0.00,,,,,,,,,