Region,Latitude,Longitude,Presence,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes,Pest
South Australia,-30,135,1,-,Not recorded,Introduced,Not recorded,-,CABI (Undated); EPPO (2020),Original citation: Council of Heads of Australasian Herbaria (CHAH) (2012),Verbesina encelioides
Victoria,-37,145,1,Widespread,Not recorded,Introduced,Not recorded,-,CABI (Undated b); EPPO (2020); Oelrichs and Vallely (1981); Walther (2004),-,Verbesina encelioides
Western Australia,-25,122,1,-,Not recorded,Introduced,Not recorded,-,CABI (Undated); EPPO (2020),Original citation: Council of Heads of Australasian Herbaria (CHAH) (2012),Verbesina encelioides
Midway Islands,28.20935,-177.37813,1,-,Not recorded,Introduced,Not recorded,Invasive,PIER (2013),"Midway Atoll, Eastern Island, Sand Island, Spit Island",Verbesina encelioides
Argentina,-34,-64,1,Widespread,Not recorded,-,Not recorded,Invasive,CABI (Undated b); EPPO (2020); GBIF (2012); Holm et al. (1979); Lopez et al. (1996),-,Verbesina encelioides
Bolivia,-17,-65,1,-,Not recorded,Introduced,Not recorded,-,GBIF (2012),-,Verbesina encelioides
Brazil,-10,-55,1,-,Not recorded,-,Not recorded,-,CABI (Undated a),Present based on regional distribution.,Verbesina encelioides
Rio de Janeiro,-22.25,-42.5,1,-,Not recorded,Introduced,Not recorded,-,CABI (Undated b); Coleman (1966); GBIF (2012),-,Verbesina encelioides
Chile,-30,-71,1,-,Not recorded,Introduced,Not recorded,-,GBIF (2012),-,Verbesina encelioides
Easter Island,-27.11667,-109.36667,1,-,Not recorded,Introduced,Not recorded,-,Shluker (1999),-,Verbesina encelioides
Colombia,4,-73.25,1,-,Not recorded,Introduced,Not recorded,-,GBIF (2012),-,Verbesina encelioides
Ecuador,-1.25,-78.25,1,-,Not recorded,Introduced,Not recorded,-,GBIF (2012),-,Verbesina encelioides
Paraguay,-23.33333,-58,1,-,Not recorded,Introduced,Not recorded,-,GBIF (2012),-,Verbesina encelioides
Uruguay,-33,-56,1,-,Not recorded,Introduced,Not recorded,-,GBIF (2012),-,Verbesina encelioides
Algeria,28,3,1,-,Not recorded,Introduced,Not recorded,Invasive,USDA-ARS (2013),-,Xanthium spinosum
Botswana,-22,24,1,-,Not recorded,Introduced,Not recorded,-,USDA-ARS (2013),-,Xanthium spinosum
Egypt,27,30,1,-,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated); Beshr et al. (2016); El-Metwally and Ahmed (2001); USDA-ARS (2013),-,Xanthium spinosum
Eritrea,15,39,1,-,Not recorded,Introduced,Not recorded,-,USDA-ARS (2013),-,Xanthium spinosum
Ethiopia,9,39.5,1,-,Not recorded,Introduced,Not recorded,Invasive,Witt and Luke (2017); USDA-ARS (2013),-,Xanthium spinosum
Lesotho,-29.5,28.25,1,-,Not recorded,Introduced,Not recorded,-,GBIF (2013),-,Xanthium spinosum
Libya,28,17,1,-,Not recorded,Introduced,Not recorded,-,USDA-ARS (2013),-,Xanthium spinosum
Mauritius,-20.3,57.58333,1,-,Not recorded,Introduced,Not recorded,-,USDA-ARS (2013),-,Xanthium spinosum
Morocco,32,-6,1,-,Not recorded,Introduced,Not recorded,-,GBIF (2013),-,Xanthium spinosum
Namibia,-22,17,1,-,Not recorded,Introduced,Not recorded,Invasive,Bethune et al. (2004),Central and eastern regions,Xanthium spinosum
RÈunion,-21.1,55.6,1,-,Not recorded,Introduced,Not recorded,-,USDA-ARS (2013),-,Xanthium spinosum
South Africa,-29,24,1,-,Not recorded,Introduced,Not recorded,-,USDA-ARS (2013); Missouri Botanical Garden (2013),-,Xanthium spinosum
Zimbabwe,-19,29.75,1,-,Not recorded,Native,Not recorded,-,USDA-ARS (2013),-,Xanthium spinosum
Afghanistan,33,66,1,-,Not recorded,Introduced,Not recorded,-,USDA-ARS (2013),-,Xanthium spinosum
Armenia,40.25,45,1,-,Not recorded,Introduced,Not recorded,-,USDA-ARS (2013),-,Xanthium spinosum
Azerbaijan,40.5,47.5,1,-,Not recorded,Introduced,Not recorded,-,USDA-ARS (2013),-,Xanthium spinosum
China,35,105,1,-,Not recorded,Introduced,Not recorded,-,USDA-ARS (2013); Missouri Botanical Garden (2013),-,Xanthium spinosum
Beijing,39.91691,116.39706,1,-,Not recorded,Introduced,Not recorded,-,USDA-ARS (2013); Missouri Botanical Garden (2013),-,Xanthium spinosum
Henan,34,113.66667,1,-,Not recorded,Introduced,Not recorded,-,USDA-ARS (2013); Missouri Botanical Garden (2013),-,Xanthium spinosum
Xinjiang,41.5,85.5,1,-,Not recorded,-,Not recorded,Invasive,CABI (Undated); Du ZhenZhu et al. (2012); Song ZhenZhen et al. (2012),-,Xanthium spinosum
Georgia,41.99998,43.4999,1,-,Not recorded,Introduced,Not recorded,-,USDA-ARS (2013),-,Xanthium spinosum
India,22,79,1,-,Not recorded,Introduced,Not recorded,-,Baburaj et al. (1994),-,Xanthium spinosum
Tamil Nadu,11,78.33333,1,-,Not recorded,Introduced,1994,-,Baburaj et al. (1994),"First record, in the Nilgiri mountains",Xanthium spinosum
Iran,32,53,1,-,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated); Hassannejad and Ghafarbi (2013); Hassannejad et al. (2014); Mirshekari and Siyami (2013); USDA-ARS (2013),Reported weed in Tabriz,Xanthium spinosum
Israel,31.5,34.75,1,-,Not recorded,Introduced,Not recorded,-,USDA-ARS (2013),-,Xanthium spinosum
Japan,35.68536,139.75309,1,-,Not recorded,Introduced,Not recorded,-,PIER (2013),-,Xanthium spinosum
Jordan,31,36,1,-,Not recorded,Introduced,Not recorded,-,USDA-ARS (2013),-,Xanthium spinosum
Kazakhstan,48,68,1,-,Not recorded,Introduced,Not recorded,-,USDA-ARS (2013),-,Xanthium spinosum
Kyrgyzstan,41.5,75,1,-,Not recorded,Introduced,Not recorded,-,USDA-ARS (2013),-,Xanthium spinosum
Lebanon,33.83333,35.83333,1,-,Not recorded,Introduced,Not recorded,-,USDA-ARS (2013),-,Xanthium spinosum
Nepal,28,84,1,-,Not recorded,Introduced,Not recorded,-,GBIF (2013),-,Xanthium spinosum
Saudi Arabia,25,45,1,-,Not recorded,Introduced,Not recorded,-,GBIF (2013),-,Xanthium spinosum
Syria,35,38,1,-,Not recorded,Introduced,Not recorded,-,USDA-ARS (2013),-,Xanthium spinosum
Tajikistan,39,71,1,-,Not recorded,Introduced,Not recorded,-,USDA-ARS (2013),-,Xanthium spinosum
Turkey,39,35,1,-,Not recorded,Introduced,Not recorded,-,CABI (Undated); B¸k¸n (2005); Royal Botanic Garden Edinburgh (2013); USDA-ARS (2013),-,Xanthium spinosum
Turkmenistan,39.75,59.66667,1,-,Not recorded,Introduced,Not recorded,-,USDA-ARS (2013),-,Xanthium spinosum
Uzbekistan,41.66667,63.83333,1,-,Not recorded,Introduced,Not recorded,-,USDA-ARS (2013),-,Xanthium spinosum
Yemen,15.5,47.5,1,-,Not recorded,Introduced,Not recorded,-,USDA-ARS (2013),-,Xanthium spinosum
Albania,41,20,1,-,Not recorded,Introduced,Not recorded,-,CABI (Undated); Royal Botanic Garden Edinburgh (2013); USDA-ARS (2013),-,Xanthium spinosum
Austria,47.33333,13.33333,1,-,Not recorded,Introduced,Not recorded,-,CABI (Undated); Royal Botanic Garden Edinburgh (2013); USDA-ARS (2013),-,Xanthium spinosum
Belgium,50.75,4.5,1,-,Not recorded,Introduced,Not recorded,-,GBIF (2013),-,Xanthium spinosum
Bulgaria,42.66667,25.25,1,-,Not recorded,Introduced,Not recorded,-,CABI (Undated); Royal Botanic Garden Edinburgh (2013); USDA-ARS (2013),-,Xanthium spinosum
Croatia,45.16667,15.5,1,-,Not recorded,Introduced,Not recorded,-,GBIF (2013); Vukovic et al. (2014),-,Xanthium spinosum
Czechia,49.75,15,1,-,Not recorded,Introduced,Not recorded,-,GBIF (2013),-,Xanthium spinosum
Czechoslovakia,50.08292,14.46672,1,-,Not recorded,Introduced,Not recorded,-,Royal Botanic Garden Edinburgh (2013),-,Xanthium spinosum
Denmark,56,10,1,-,Not recorded,Introduced,Not recorded,-,GBIF (2013),-,Xanthium spinosum
Federal Republic of Yugoslavia,44,19.75,1,-,Not recorded,Introduced,Not recorded,-,Royal Botanic Garden Edinburgh (2013),-,Xanthium spinosum
Finland,64,26,1,-,Not recorded,Introduced,Not recorded,-,GBIF (2013),-,Xanthium spinosum
France,46,2,1,-,Not recorded,Introduced,Not recorded,-,CABI (Undated); GBIF (2013); Royal Botanic Garden Edinburgh (2013); USDA-ARS (2013),-,Xanthium spinosum
Germany,51.5,10.5,1,-,Not recorded,Introduced,Not recorded,-,CABI (Undated); Royal Botanic Garden Edinburgh (2013); USDA-ARS (2013),-,Xanthium spinosum
Greece,39,22,1,-,Not recorded,Introduced,Not recorded,-,CABI (Undated); Chatzivassiliou et al. (2001); Royal Botanic Garden Edinburgh (2013); USDA-ARS (2013),-,Xanthium spinosum
Hungary,47,20,1,-,Not recorded,Introduced,Not recorded,-,CABI (Undated); GBIF (2013); Royal Botanic Garden Edinburgh (2013); USDA-ARS (2013),-,Xanthium spinosum
Italy,42.83333,12.83333,1,-,Not recorded,Introduced,Not recorded,-,CABI (Undated); GBIF (2013); Royal Botanic Garden Edinburgh (2013); USDA-ARS (2013),-,Xanthium spinosum
Luxembourg,49.75,6.16667,1,-,Not recorded,Introduced,Not recorded,-,GBIF (2013),-,Xanthium spinosum
Moldova,47.25,28.58333,1,-,Not recorded,Introduced,Not recorded,-,CABI (Undated); Royal Botanic Garden Edinburgh (2013); USDA-ARS (2013),-,Xanthium spinosum
Netherlands,52.25,5.75,1,-,Not recorded,Introduced,Not recorded,-,GBIF (2013),-,Xanthium spinosum
North Macedonia,41.66667,21.75,1,-,Not recorded,Introduced,Not recorded,-,GBIF (2013),-,Xanthium spinosum
Norway,62,10,1,-,Not recorded,Introduced,Not recorded,-,GBIF (2013),-,Xanthium spinosum
Poland,52,20,1,-,Not recorded,Introduced,Not recorded,-,CABI (Undated); Royal Botanic Garden Edinburgh (2013); USDA-ARS (2013); USDA-NRCS (2013),-,Xanthium spinosum
Portugal,39.6945,-8.13057,1,-,Not recorded,Introduced,Not recorded,-,CABI (Undated); Royal Botanic Garden Edinburgh (2013); USDA-ARS (2013),-,Xanthium spinosum
Azores,37.80847,-25.47466,1,-,Not recorded,Introduced,Not recorded,-,CABI (Undated); Royal Botanic Garden Edinburgh (2013); USDA-ARS (2013),-,Xanthium spinosum
Romania,46,25,1,-,Not recorded,Introduced,Not recorded,-,CABI (Undated); Royal Botanic Garden Edinburgh (2013); USDA-ARS (2013),-,Xanthium spinosum
Russia,60,100,1,-,Not recorded,Introduced,Not recorded,-,CABI (Undated); Royal Botanic Garden Edinburgh (2013); USDA-ARS (2013),-,Xanthium spinosum
Central Russia,56.85,43.44,1,-,Not recorded,Introduced,Not recorded,-,USDA-ARS (2013),European part,Xanthium spinosum
Eastern Siberia,64.44,117.93,1,-,Not recorded,-,Not recorded,-,USDA-ARS (2013),Tyumen,Xanthium spinosum
Northern Russia,66.25,47.78,1,-,Not recorded,Introduced,Not recorded,-,USDA-ARS (2013),European part,Xanthium spinosum
Russian Far East,53.1,134.88,1,-,Not recorded,Introduced,Not recorded,-,USDA-ARS (2013),Primoye,Xanthium spinosum
Southern Russia,48.76,45.34,1,-,Not recorded,Introduced,Not recorded,-,USDA-ARS (2013),European part,Xanthium spinosum
Western Siberia,60.66,74.35,1,-,Not recorded,-,Not recorded,-,USDA-ARS (2013),Altay,Xanthium spinosum
Slovakia,48.66667,19.5,1,-,Not recorded,Introduced,Not recorded,-,GBIF (2013),-,Xanthium spinosum
Spain,40,-4,1,-,Not recorded,Introduced,Not recorded,-,CABI (Undated); GBIF (2013); Jord· et al. (2000); Royal Botanic Garden Edinburgh (2013); USDA-ARS (2013),-,Xanthium spinosum
Balearic Islands,39.58876,2.90314,1,-,Not recorded,Introduced,Not recorded,-,Royal Botanic Garden Edinburgh (2013),-,Xanthium spinosum
Canary Islands,28,-15.5,1,-,Not recorded,Introduced,Not recorded,-,USDA-ARS (2013),-,Xanthium spinosum
Sweden,62,15,1,-,Not recorded,Introduced,Not recorded,-,GBIF (2013),-,Xanthium spinosum
Switzerland,47.00016,8.01427,1,-,Not recorded,Introduced,Not recorded,-,CABI (Undated); GBIF (2013); Royal Botanic Garden Edinburgh (2013),-,Xanthium spinosum
Ukraine,49,32,1,-,Not recorded,Introduced,Not recorded,-,CABI (Undated); Royal Botanic Garden Edinburgh (2013); USDA-ARS (2013),-,Xanthium spinosum
United Kingdom,54.75844,-2.69531,1,-,Not recorded,Introduced,Not recorded,-,GBIF (2013),-,Xanthium spinosum
Canada,60.10867,-113.64258,1,-,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated); Missouri Botanical Garden (2013); USDA-ARS (2013); USDA-NRCS (2013),-,Xanthium spinosum
New Brunswick,46.5001,-65.99878,1,-,Not recorded,Introduced,Not recorded,-,USDA-NRCS (2013),-,Xanthium spinosum
Ontario,49.25014,-84.49983,1,-,Not recorded,Introduced,Not recorded,-,USDA-NRCS (2013); Missouri Botanical Garden (2013),-,Xanthium spinosum
Quebec,52.00017,-71.99907,1,-,Not recorded,Introduced,Not recorded,-,USDA-NRCS (2013),-,Xanthium spinosum
Saskatchewan,54.0001,-106.00099,1,-,Not recorded,Introduced,Not recorded,-,USDA-NRCS (2013),-,Xanthium spinosum
Mexico,23,-102,1,-,Not recorded,Introduced,Not recorded,-,USDA-ARS (2013),-,Xanthium spinosum
United States,39.76,-98.5,1,Widespread,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated); USDA-ARS (2013); USDA-NRCS (2013),-,Xanthium spinosum
Alabama,32.75041,-86.75026,1,-,Not recorded,Introduced,Not recorded,Invasive,USDA-NRCS (2013),-,Xanthium spinosum
Arizona,34.5003,-111.50098,1,-,Not recorded,Introduced,Not recorded,Invasive,USDA-NRCS (2013),-,Xanthium spinosum
California,37.25022,-119.75126,1,-,Not recorded,Introduced,Not recorded,Invasive,USDA-NRCS (2013); Missouri Botanical Garden (2013),-,Xanthium spinosum
Colorado,39.00027,-105.50083,1,-,Not recorded,Introduced,Not recorded,Invasive,USDA-NRCS (2013),-,Xanthium spinosum
Connecticut,41.66704,-72.66648,1,-,Not recorded,Introduced,Not recorded,Invasive,USDA-NRCS (2013),-,Xanthium spinosum
Delaware,39.00039,-75.49992,1,-,Not recorded,Introduced,Not recorded,Invasive,USDA-NRCS (2013),-,Xanthium spinosum
District of Columbia,38.91706,-77.00025,1,-,Not recorded,Introduced,Not recorded,Invasive,USDA-NRCS (2013),-,Xanthium spinosum
Florida,28.75054,-82.5001,1,-,Not recorded,Introduced,Not recorded,Invasive,USDA-NRCS (2013),-,Xanthium spinosum
Georgia,32.75042,-83.50018,1,-,Not recorded,Introduced,Not recorded,Invasive,USDA-NRCS (2013),-,Xanthium spinosum
Idaho,44.5002,-114.25118,1,-,Not recorded,Introduced,Not recorded,Invasive,USDA-NRCS (2013),-,Xanthium spinosum
Illinois,40.00032,-89.25037,1,-,Not recorded,Introduced,Not recorded,Invasive,USDA-NRCS (2013),-,Xanthium spinosum
Indiana,40.00032,-86.25027,1,-,Not recorded,Introduced,Not recorded,Invasive,USDA-NRCS (2013),-,Xanthium spinosum
Iowa,42.00027,-93.50049,1,-,Not recorded,Introduced,Not recorded,Invasive,USDA-NRCS (2013),-,Xanthium spinosum
Kansas,38.50029,-98.50063,1,-,Not recorded,Introduced,Not recorded,Invasive,USDA-NRCS (2013); Missouri Botanical Garden (2013),-,Xanthium spinosum
Kentucky,38.20042,-84.87762,1,-,Not recorded,Introduced,Not recorded,Invasive,USDA-NRCS (2013),-,Xanthium spinosum
Maine,45.50032,-69.24977,1,-,Not recorded,Introduced,Not recorded,Invasive,USDA-NRCS (2013),-,Xanthium spinosum
Maryland,39.00039,-76.74997,1,-,Not recorded,Introduced,Not recorded,Invasive,USDA-NRCS (2013),-,Xanthium spinosum
Massachusetts,42.36565,-71.10832,1,-,Not recorded,Introduced,Not recorded,Invasive,USDA-NRCS (2013),-,Xanthium spinosum
Michigan,44.25029,-85.50033,1,-,Not recorded,Introduced,Not recorded,Invasive,USDA-NRCS (2013),-,Xanthium spinosum
Mississippi,32.75041,-89.75036,1,-,Not recorded,Introduced,Not recorded,Invasive,USDA-NRCS (2013),-,Xanthium spinosum
Missouri,38.25031,-92.50046,1,-,Not recorded,Introduced,Not recorded,Invasive,USDA-NRCS (2013),-,Xanthium spinosum
Montana,47.00025,-109.75102,1,-,Not recorded,Introduced,Not recorded,Invasive,USDA-NRCS (2013),-,Xanthium spinosum
Nebraska,41.50028,-99.75067,1,-,Not recorded,Introduced,Not recorded,Invasive,USDA-NRCS (2013); Missouri Botanical Garden (2013),-,Xanthium spinosum
Nevada,39.25021,-116.75119,1,-,Not recorded,Introduced,Not recorded,Invasive,USDA-NRCS (2013),-,Xanthium spinosum
New Hampshire,43.66702,-71.4998,1,-,Not recorded,Introduced,Not recorded,Invasive,USDA-NRCS (2013),-,Xanthium spinosum
New Jersey,40.16706,-74.49987,1,-,Not recorded,Introduced,Not recorded,Invasive,USDA-NRCS (2013),-,Xanthium spinosum
New Mexico,34.50034,-106.00085,1,-,Not recorded,Introduced,Not recorded,Invasive,USDA-NRCS (2013),-,Xanthium spinosum
New York,43.00035,-75.4999,1,-,Not recorded,Introduced,Not recorded,Invasive,USDA-NRCS (2013),-,Xanthium spinosum
North Carolina,35.50069,-80.00032,1,-,Not recorded,Introduced,Not recorded,Invasive,USDA-NRCS (2013); Missouri Botanical Garden (2013),-,Xanthium spinosum
Ohio,40.25034,-83.00018,1,-,Not recorded,Introduced,Not recorded,Invasive,USDA-NRCS (2013),-,Xanthium spinosum
Oregon,44.00013,-120.50139,1,-,Not recorded,Introduced,Not recorded,Invasive,USDA-NRCS (2013),-,Xanthium spinosum
Pennsylvania,40.27245,-76.90567,1,-,Not recorded,Introduced,Not recorded,Invasive,USDA-NRCS (2013),-,Xanthium spinosum
Rhode Island,41.75038,-71.49978,1,-,Not recorded,Introduced,Not recorded,Invasive,USDA-NRCS (2013),-,Xanthium spinosum
South Carolina,34.00043,-81.00009,1,-,Not recorded,Introduced,Not recorded,Invasive,USDA-NRCS (2013),-,Xanthium spinosum
Tennessee,35.75035,-86.25027,1,-,Not recorded,Introduced,Not recorded,Invasive,USDA-NRCS (2013),-,Xanthium spinosum
Texas,31.25044,-99.25061,1,-,Not recorded,Introduced,Not recorded,Invasive,USDA-NRCS (2013); Missouri Botanical Garden (2013),-,Xanthium spinosum
Utah,39.25024,-111.75103,1,-,Not recorded,Introduced,Not recorded,Invasive,USDA-NRCS (2013),-,Xanthium spinosum
Virginia,37.54812,-77.44675,1,-,Not recorded,Introduced,Not recorded,Invasive,USDA-NRCS (2013),-,Xanthium spinosum
Washington,47.50012,-120.50147,1,-,Not recorded,Introduced,Not recorded,Invasive,USDA-NRCS (2013),-,Xanthium spinosum
West Virginia,38.50038,-80.50009,1,-,Not recorded,Introduced,Not recorded,Invasive,USDA-NRCS (2013),-,Xanthium spinosum
Australia,-25,135,1,-,Not recorded,Introduced,Not recorded,Invasive,PIER (2013),-,Xanthium spinosum
New South Wales,-33,146,1,-,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated); Holm et al. (1977); PIER (2013); Royal Botanic Gardens Sydney (2013),-,Xanthium spinosum
Northern Territory,-20,134,1,-,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated); PIER (2013); Royal Botanic Gardens Sydney (2013),-,Xanthium spinosum
Queensland,-20,145,1,-,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated); PIER (2013); Royal Botanic Gardens Sydney (2013),-,Xanthium spinosum
South Australia,-30,135,1,Widespread,Not recorded,Introduced,Not recorded,-,Royal Botanic Gardens Sydney (2013),Eastern parts of the state,Xanthium spinosum
Tasmania,-42,147,1,Localized,Not recorded,Introduced,Not recorded,-,Royal Botanic Gardens Sydney (2013),-,Xanthium spinosum
Victoria,-37,145,1,Widespread,Not recorded,Introduced,Not recorded,-,Royal Botanic Gardens Sydney (2013),-,Xanthium spinosum
Western Australia,-25,122,1,-,Not recorded,Introduced,Not recorded,-,CABI (Undated); Gardner and Meadly (1947); Royal Botanic Gardens Sydney (2013),-,Xanthium spinosum
Fiji,-18,178,1,-,Not recorded,Introduced,Not recorded,-,PIER (2013),Viti Levu Island,Xanthium spinosum
Kiribati,1.421,172.984,1,-,Not recorded,Introduced,Not recorded,-,PIER (2013),Teraina (Washington) Island,Xanthium spinosum
New Zealand,-42,174,1,-,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated); PIER (2013); USDA-ARS (2013),-,Xanthium spinosum
Papua New Guinea,-6,147,1,-,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated); Holm et al. (1977); USDA-ARS (2013),Eastern New Guinea Island,Xanthium spinosum
Argentina,-34,-64,1,-,Not recorded,Native,Not recorded,Invasive,CABI (Undated); Istilart (2005); Missouri Botanical Garden (2013); USDA-ARS (2013),-,Xanthium spinosum
Bolivia,-17,-65,1,-,Not recorded,Native,Not recorded,-,USDA-ARS (2013); Missouri Botanical Garden (2013),-,Xanthium spinosum
Brazil,-10,-55,1,-,Not recorded,Native,Not recorded,-,USDA-ARS (2013); Missouri Botanical Garden (2013),-,Xanthium spinosum
Rio Grande do Sul,-30,-53.5,1,-,Not recorded,Native,Not recorded,-,USDA-ARS (2013),-,Xanthium spinosum
Santa Catarina,-27,-50,1,-,Not recorded,Native,Not recorded,-,USDA-ARS (2013),-,Xanthium spinosum
Chile,-30,-71,1,-,Not recorded,Native,Not recorded,-,CABI (Undated); PIER (2013); USDA-ARS (2013),-,Xanthium spinosum
Colombia,4,-73.25,1,-,Not recorded,-,Not recorded,-,Missouri Botanical Garden (2013),-,Xanthium spinosum
Ecuador,-1.25,-78.25,1,-,Not recorded,Native,Not recorded,-,USDA-ARS (2013); Missouri Botanical Garden (2013),-,Xanthium spinosum
Paraguay,-23.33333,-58,1,-,Not recorded,Native,Not recorded,-,USDA-ARS (2013),-,Xanthium spinosum
Peru,-10,-75.25,1,-,Not recorded,Native,Not recorded,-,CABI (Undated); GBIF (2013); USDA-ARS (2013),-,Xanthium spinosum
Uruguay,-33,-56,1,-,Not recorded,Native,Not recorded,-,CABI (Undated); Olano et al. (1996); USDA-ARS (2013),-,Xanthium spinosum